x,y,z,Bx,By,Bz
-1.5,-1.3,1.1,19.659000000000002,0.6,-24.180999999999997
-1.5,-1.3,1.2,21.248,0.607,-24.148000000000003
-1.5,-1.3,1.3,22.771,0.622,-24.156
-1.5,-1.3,1.4,24.335,0.596,-24.08
-1.5,-1.3,1.5,25.941,0.514,-24.058000000000003
-1.5,-1.2,-1.5,-21.221999999999998,0.9,-23.678
-1.5,-1.2,-1.4,-19.73,0.8909999999999999,-23.813000000000002
-1.5,-1.2,-1.3,-18.108,0.847,-23.849
-1.5,-1.2,-1.2,-16.598,0.805,-23.869
-1.5,-1.2,-1.1,-15.025,0.8640000000000001,-23.993000000000002
-1.5,-1.2,-1.0,-13.495999999999999,0.9,-24.035999999999998
-1.5,-1.2,-0.9,-11.892000000000001,0.831,-24.069000000000003
-1.5,-1.2,-0.8,-10.306,0.777,-24.038
-1.5,-1.2,-0.7,-8.727,0.802,-24.105
-1.5,-1.2,-0.6,-7.138,0.784,-24.122
-1.5,-1.2,-0.5,-5.577999999999999,0.763,-24.142
-1.5,-1.2,-0.4,-4.0,0.733,-24.186
-1.5,-1.2,-0.3,-2.405,0.728,-24.175
-1.5,-1.2,-0.2,-0.762,0.784,-24.224
-1.5,-1.2,-0.1,0.745,0.762,-24.179000000000002
-1.5,-1.2,0.0,2.3480000000000003,0.8029999999999999,-24.214000000000002
-1.5,-1.2,0.1,3.9539999999999997,0.703,-24.235
-1.5,-1.2,0.2,5.5729999999999995,0.6729999999999999,-24.198
-1.5,-1.2,0.3,7.157,0.74,-24.226999999999997
-1.5,-1.2,0.4,8.699,0.7240000000000001,-24.215999999999998
-1.5,-1.2,0.5,10.302,0.634,-24.294
-1.5,-1.2,0.6,11.91,0.691,-24.229
-1.5,-1.2,0.7,13.495999999999999,0.615,-24.149
-1.5,-1.2,0.8,15.005999999999998,0.682,-24.22
-1.5,-1.2,0.9,16.595,0.605,-24.176
-1.5,-1.2,1.0,18.148,0.589,-24.19
-1.5,-1.2,1.1,19.713,0.589,-24.125999999999998
-1.5,-1.2,1.2,21.234,0.605,-24.129
-1.5,-1.2,1.3,22.851,0.595,-24.148000000000003
-1.5,-1.2,1.4,24.383000000000003,0.6,-24.105999999999998
-1.5,-1.2,1.5,25.956,0.5670000000000001,-24.044
-1.5,-1.1,-1.5,-21.186999999999998,0.941,-23.666
-1.5,-1.1,-1.4,-19.676,0.879,-23.842
-1.5,-1.1,-1.3,-18.119,0.835,-23.921
-1.5,-1.1,-1.2,-16.565,0.871,-23.914
-1.5,-1.1,-1.1,-15.035,0.8690000000000001,-23.964000000000002
-1.5,-1.1,-1.0,-13.423,0.894,-23.991999999999997
-1.5,-1.1,-0.9,-11.849,0.846,-24.057
-1.5,-1.1,-0.8,-10.265999999999998,0.828,-24.053
-1.5,-1.1,-0.7,-8.705,0.797,-24.128
-1.5,-1.1,-0.6,-7.16,0.7979999999999999,-24.17
-1.5,-1.1,-0.5,-5.577000000000001,0.81,-24.201
-1.5,-1.1,-0.4,-3.969,0.764,-24.178
-1.5,-1.1,-0.3,-2.441,0.8,-24.223000000000003
-1.5,-1.1,-0.2,-0.8009999999999999,0.7759999999999999,-24.243000000000002
-1.5,-1.1,-0.1,0.826,0.737,-24.21
-1.5,-1.1,0.0,2.414,0.752,-24.217
-1.5,-1.1,0.1,3.945,0.732,-24.234
-1.5,-1.1,0.2,5.58,0.68,-24.226
-1.5,-1.1,0.3,7.117999999999999,0.6970000000000001,-24.273000000000003
